"pred.var","coef","target"
"cg22861185",-0.007368625,"Contactin-4"
"cg27084026",-0.024848884,"Contactin-4"
"cg24701295",-0.014470338,"Contactin-4"
"cg17246382",0.004269619,"Contactin-4"
"cg01702820",-0.018084278,"Contactin-4"
"cg15036616",-0.006368805,"Contactin-4"
"cg08425065",0.00375811,"Contactin-4"
"cg04199473",0.008109412,"Contactin-4"
"cg07190917",-0.003533246,"Contactin-4"
"cg03183451",0.001068521,"Contactin-4"
"cg00587115",0.000991029,"Contactin-4"
"cg07234911",-0.010162332,"Contactin-4"
"cg17745562",0.020490235,"Contactin-4"
"cg27347930",0.000744215,"Contactin-4"
"cg25124739",0.008106437,"Contactin-4"
"cg09419670",-0.012778616,"Contactin-4"
"cg03751527",0.005911825,"Contactin-4"
"cg13230424",0.000748578,"Contactin-4"
"cg06070970",-0.000877477,"Contactin-4"
"cg22953960",0.010272105,"Contactin-4"
"cg12921411",0.006941562,"Contactin-4"
"cg12800266",0.012078354,"Contactin-4"
"cg00707688",-0.010571916,"Contactin-4"
"cg10573751",0.022709227,"Contactin-4"
"cg01160311",0.007430285,"Contactin-4"
"cg23874611",0.003146398,"Contactin-4"
"cg17501210",0.02566933,"Contactin-4"
"cg09425279",-0.02214217,"Contactin-4"
"cg12559228",0.005533653,"Contactin-4"
"cg05845217",0.002779297,"Contactin-4"
"cg01459854",0.004943448,"Contactin-4"
"cg07573872",0.024814259,"Contactin-4"
"cg25790212",0.002433962,"Contactin-4"
"cg06911238",-0.001005273,"Contactin-4"
"cg13558105",0.008589167,"Contactin-4"
"cg06690548",0.069348773,"Contactin-4"
"cg15342087",0.011291717,"Contactin-4"
"cg20747449",0.000634731,"Contactin-4"
"cg13146020",0.003176979,"Contactin-4"
"cg05575921",0.009118305,"Contactin-4"
"cg07295586",0.012744888,"Contactin-4"
"cg04789761",0.002936487,"Contactin-4"
"cg15527674",0.00393191,"Contactin-4"
"cg21228424",-0.002475208,"Contactin-4"
"cg19076702",0.000870365,"Contactin-4"
