"pred.var","coef","target"
"cg02715797",0.014331196,"Interleukin-19"
"cg15668587",0.000594266,"Interleukin-19"
"cg04542325",0.003562904,"Interleukin-19"
"cg19199142",0.000826649,"Interleukin-19"
"cg18217145",0.000572306,"Interleukin-19"
"cg21705221",0.014308973,"Interleukin-19"
"cg22682031",0.00011529,"Interleukin-19"
"cg01077808",0.010160884,"Interleukin-19"
"cg13924809",0.006412257,"Interleukin-19"
"cg20009641",0.011449812,"Interleukin-19"
"cg12445115",0.001022788,"Interleukin-19"
"cg06023646",0.003275761,"Interleukin-19"
"cg19267259",0.054779339,"Interleukin-19"
"cg09428537",0.005080626,"Interleukin-19"
"cg02762393",-0.025806904,"Interleukin-19"
"cg18011946",-0.015551777,"Interleukin-19"
"cg04199473",0.01149582,"Interleukin-19"
"cg04914357",0.001456057,"Interleukin-19"
"cg06873806",-0.021757936,"Interleukin-19"
"cg07190917",-0.005393812,"Interleukin-19"
"cg26213873",-0.003913106,"Interleukin-19"
"cg10333808",5.69e-05,"Interleukin-19"
"cg13226172",-0.00121141,"Interleukin-19"
"cg14839323",0.002210563,"Interleukin-19"
"cg07561848",0.003751169,"Interleukin-19"
"cg23883989",0.005610792,"Interleukin-19"
"cg21001487",-0.00374571,"Interleukin-19"
"cg19694200",-0.012503085,"Interleukin-19"
"cg00505502",-0.000540579,"Interleukin-19"
"cg17010100",-0.005778557,"Interleukin-19"
"cg20687940",0.005007195,"Interleukin-19"
"cg20818778",-0.01361749,"Interleukin-19"
"cg24713122",0.006040306,"Interleukin-19"
"cg12054453",0.012003749,"Interleukin-19"
"cg09349128",0.0019294,"Interleukin-19"
"cg25485435",0.013936962,"Interleukin-19"
"cg09002919",-0.008752693,"Interleukin-19"
"cg19295068",0.062782695,"Interleukin-19"
"cg22505086",0.013551185,"Interleukin-19"
"cg15450224",0.005417949,"Interleukin-19"
"cg25500028",-0.001082384,"Interleukin-19"
"cg09178025",-0.000573148,"Interleukin-19"
"cg06117341",-0.005859112,"Interleukin-19"
"cg07546943",-0.005485574,"Interleukin-19"
"cg17715419",0.004393496,"Interleukin-19"
"cg25741837",0.003012168,"Interleukin-19"
"cg10472711",0.018503231,"Interleukin-19"
"cg06744585",0.042235883,"Interleukin-19"
"cg08767686",0.030463787,"Interleukin-19"
"cg24891660",-0.006907031,"Interleukin-19"
"cg06489965",-0.002776219,"Interleukin-19"
"cg14245185",-0.009605704,"Interleukin-19"
"cg15033511",0.001971284,"Interleukin-19"
"cg05935075",-0.010520228,"Interleukin-19"
"cg11054192",-0.011669986,"Interleukin-19"
"cg02069772",0.014748616,"Interleukin-19"
"cg00325917",-0.009029421,"Interleukin-19"
"cg00093971",-0.018852567,"Interleukin-19"
"cg12374353",-0.017069534,"Interleukin-19"
"cg04473095",-0.041483631,"Interleukin-19"
"cg15108699",0.000149442,"Interleukin-19"
"cg16009741",-0.000983691,"Interleukin-19"
"cg27567761",-0.004811207,"Interleukin-19"
"cg10775173",-0.006868109,"Interleukin-19"
"cg24152098",0.00502464,"Interleukin-19"
"cg23471338",-0.002942923,"Interleukin-19"
"cg23955860",-0.006812776,"Interleukin-19"
"cg19689679",-0.031132981,"Interleukin-19"
"cg00818822",0.000696694,"Interleukin-19"
"cg14726821",0.046955354,"Interleukin-19"
"cg02103362",0.00479683,"Interleukin-19"
"cg18093771",0.000384434,"Interleukin-19"
"cg12636499",-0.002844489,"Interleukin-19"
"cg09532575",-0.002108048,"Interleukin-19"
"cg22561384",-0.005286865,"Interleukin-19"
"cg01191286",0.001633602,"Interleukin-19"
"cg07315356",0.006173272,"Interleukin-19"
"cg14059665",0.002142728,"Interleukin-19"
"cg26772255",0.001267701,"Interleukin-19"
"cg23634829",0.002197699,"Interleukin-19"
"cg22499215",-0.000207213,"Interleukin-19"
